name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,shape_comp_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,shape_comp_improvement_percent,winner,partial_fscore_0p02,3dsgrasp_fscore_0p02,adapointr_fscore_0p02,shape_comp_fscore_0p02
scene000054_im000001_gt000001_obj000003,3,43.82545103310513,10.338740020683192,81.84890204339804,13.382466334944748,76.40927867947451,-86.76111737348812,69.46416746553088,3DSGrasp,0.29607028152638,0.19416818132321323,0.05562957136267791,0.18933321279331405
scene000054_im000001_gt000002_obj000012,12,41.02464863612084,11.02929401243501,61.829161017432256,40.03175030021744,73.11544552090548,-50.71222563255237,2.420248238346123,3DSGrasp,0.3041654454865182,0.2195564173094374,0.1271505540302377,0.0761025680382919
scene000054_im000001_gt000003_obj000015,15,23.853196141414553,5.408834505792621,79.06822111022724,64.31521459724046,77.3244873612486,-231.4785181887927,-169.62933694899976,3DSGrasp,0.2804965500626614,0.23383238042513835,0.137435548937434,0.07784185015588464
scene000054_im000001_gt000004_obj000019,19,13.448297050362576,11.003994491868022,12.696886630045464,78.90499993137429,18.175554490958056,5.587402014568479,-486.7285622550027,3DSGrasp,0.277002558579504,0.40177594727532273,0.2728746310499014,0.1153296990928588
scene000055_im000022_gt000000_obj000001,1,54.41425983562497,5.652498073950659,79.74582698855636,42.83525254486443,89.6121015134162,-46.553177842450104,21.27936192780807,3DSGrasp,0.2792212620980643,0.2291152489927873,0.046465797718509,0.09633651733398438
scene000055_im000022_gt000001_obj000003,3,39.570396693218164,10.652011331097935,41.51783747495302,17.150304944198577,73.08085786028133,-4.921458829015524,56.65874902098742,3DSGrasp,0.34017450947016586,0.2223873987854251,0.11155613269800826,0.18074929454095334
scene000055_im000022_gt000002_obj000004,4,167.40244415990531,25.551638097481995,238.5555216412349,112.34028322988563,84.73640081797451,-42.504204665830976,32.89208900523788,3DSGrasp,0.14077999142303102,0.09510640374383098,0.019091796875,0.03670003511928233
scene000055_im000022_gt000003_obj000012,12,243.31185719105142,67.72055054920455,357.2538513810359,146.35824739544705,72.16718028828757,-46.82961015768164,39.84746609347329,3DSGrasp,0.12679151639902014,0.12181029970533498,0.0977904749121437,0.11682195347290945
scene000055_im000022_gt000004_obj000014,14,40.102243288359965,11.605916475308664,148.0208441200324,36.38730374114479,71.05918391683244,-269.10863827659426,9.263670165537757,3DSGrasp,0.09696844939355918,0.106672838380554,0.005191496048850575,0.07916029177910563
scene000055_im000022_gt000005_obj000016,16,85.73222418618164,31.707579926749233,120.70504917135584,63.62658954191544,63.015563601976545,-40.793091882493286,25.784510846540236,3DSGrasp,0.2505086194124619,0.1842757839414344,0.020736303084935896,0.10051333932853718
scene000056_im000001_gt000000_obj000001,1,455.2805539156693,193.34790224964428,536.4445390605908,311.8807596675196,57.53214131665775,-17.82724617751968,31.497017172121815,3DSGrasp,0.06210689484126984,0.04019572245127436,0.08797269130745172,0.017215281519396552
scene000056_im000001_gt000001_obj000010,10,586.7986668347186,445.63590589635163,996.8947393527336,686.1561791618689,24.056421549118433,-69.88701503535033,-16.932129867148447,3DSGrasp,0.1336470312084552,0.10387417521994134,0.07472669249168053,0.029347213273195876
scene000056_im000001_gt000002_obj000011,11,87.81707911170429,23.81913769058667,151.17457642602062,156.0811237469076,72.87641774068975,-72.14712440358542,-77.73436024713448,3DSGrasp,0.29243790606388737,0.11359998207768508,0.041165317062043794,0.041390726212359945
scene000056_im000001_gt000003_obj000015,15,63.17599097988578,56.52245352575884,87.29447275115574,165.06851370622465,10.531750038151873,-38.17665761499314,-161.2836160477163,3DSGrasp,0.17908751076861656,0.24257416298835463,0.17041677437338051,0.13450603243670886
scene000057_im000001_gt000000_obj000004,4,97.21145353198081,17.172389665267744,168.00459612214846,56.533032384719405,82.33501399131087,-72.8238700462163,41.84529669014664,3DSGrasp,0.07124461717762326,0.12669980785962878,0.012900075604838709,0.0656012337031107
