sample_name,scene_id,im_id,gt_idx,obj_id,partial_points,gt_points,completion_points,normalization_scale,bbox_diag_partial_raw,bbox_diag_gt_raw,bbox_diag_completion_raw,partial_cd_l1,partial_cd_l2,partial_cd_l2_x1000,partial_precision_0p01,partial_recall_0p01,partial_fscore_0p01,partial_precision_0p02,partial_recall_0p02,partial_fscore_0p02,completed_cd_l1,completed_cd_l2,completed_cd_l2_x1000,completed_precision_0p01,completed_recall_0p01,completed_fscore_0p01,completed_precision_0p02,completed_recall_0p02,completed_fscore_0p02,cd_l2_improvement_abs,cd_l2_improvement_percent,completed_x_cd_l1,completed_x_cd_l2,completed_x_cd_l2_x1000,completed_x_precision_0p01,completed_x_recall_0p01,completed_x_fscore_0p01,completed_x_precision_0p02,completed_x_recall_0p02,completed_x_fscore_0p02,completed_x_cd_l2_improvement_percent
scene000051_im000001_gt000002_obj000004,51,1,2,4,2048,8192,8192,66.87247467041016,165.96295166015625,188.29837036132812,203.75762939453125,0.24423694217618735,0.08737768382778033,87.37768382778033,0.0322265625,0.0093994140625,0.014553931451612902,0.181640625,0.066162109375,0.09699430418719211,0.14814300314510476,0.022250981743340774,22.250981743340773,0.0198974609375,0.0234375,0.02152288732394366,0.10693359375,0.158203125,0.12761136049723756,0.06512670208443955,74.53470867092675,0.14814300314510476,0.022250981743340774,22.250981743340773,0.0198974609375,0.0234375,0.02152288732394366,0.10693359375,0.158203125,0.12761136049723756,74.53470867092675
scene000051_im000001_gt000003_obj000012,51,1,3,12,2048,8192,8192,123.86901092529297,264.4795227050781,310.6823425292969,319.49169921875,0.18331152843624693,0.05145136526965004,51.45136526965004,0.18505859375,0.052978515625,0.08237479967948717,0.71044921875,0.228759765625,0.3460831390531583,0.13630383656756445,0.015026993890069833,15.026993890069832,0.0333251953125,0.040771484375,0.036674185286243825,0.1505126953125,0.2413330078125,0.18539788076810748,0.036424371379580205,70.79378980263152,0.13630383656756445,0.015026993890069833,15.026993890069832,0.0333251953125,0.040771484375,0.036674185286243825,0.1505126953125,0.2413330078125,0.18539788076810748,70.79378980263152
scene000051_im000001_gt000004_obj000017,51,1,4,17,2048,8192,8192,86.4974594116211,173.1007080078125,222.1120147705078,204.71978759765625,0.15468547815208106,0.0506229415804982,50.6229415804982,0.1533203125,0.046875,0.07179878048780487,0.46337890625,0.1719970703125,0.25087449717819404,0.18891983260926246,0.05319512861493201,53.19512861493201,0.054931640625,0.0772705078125,0.06421371840373961,0.17919921875,0.369873046875,0.24142891632392174,-0.0025721870344338066,-5.081069874897801,0.18891983260926246,0.05319512861493201,53.19512861493201,0.054931640625,0.0772705078125,0.06421371840373961,0.17919921875,0.369873046875,0.24142891632392174,-5.081069874897801
scene000052_im000001_gt000000_obj000005,52,1,0,5,2048,8192,8192,95.86846923828125,223.2432403564453,250.66714477539062,264.1258544921875,0.2050378400932091,0.06467300864117892,64.67300864117892,0.14599609375,0.0426025390625,0.06595810578478964,0.6123046875,0.1781005859375,0.2759390082046332,0.14353879494773272,0.017749048288111097,17.749048288111098,0.0213623046875,0.02685546875,0.02379598496835443,0.1107177734375,0.17138671875,0.13452856244591085,0.046923960353067826,72.55570962132443,0.14353879494773272,0.017749048288111097,17.749048288111098,0.0213623046875,0.02685546875,0.02379598496835443,0.1107177734375,0.17138671875,0.13452856244591085,72.55570962132443
scene000052_im000001_gt000001_obj000006,52,1,1,6,2048,8192,8192,71.81369018554688,137.2255096435547,144.76873779296875,165.5179443359375,0.19197643421321037,0.046173081815505376,46.17308181550538,0.14013671875,0.0404052734375,0.06272515741210277,0.53515625,0.129150390625,0.20808354005880192,0.14949193574607536,0.020271983011638087,20.27198301163809,0.0330810546875,0.0404052734375,0.03637816977263289,0.1409912109375,0.22412109375,0.17309251974674023,0.02590109880386729,56.095668266980276,0.14949193574607536,0.020271983011638087,20.27198301163809,0.0330810546875,0.0404052734375,0.03637816977263289,0.1409912109375,0.22412109375,0.17309251974674023,56.095668266980276
scene000052_im000001_gt000002_obj000011,52,1,2,11,2048,8192,8192,144.63966369628906,323.8985290527344,390.48370361328125,404.6352233886719,0.2140186662623601,0.07971531641894415,79.71531641894416,0.18017578125,0.0457763671875,0.07300477360210697,0.62890625,0.173583984375,0.2720732240644965,0.12506662345654052,0.014950834448588994,14.950834448588994,0.0142822265625,0.0164794921875,0.015302385602678572,0.0849609375,0.134765625,0.10421875,0.06476448197035516,81.24471541953766,0.12506662345654052,0.014950834448588994,14.950834448588994,0.0142822265625,0.0164794921875,0.015302385602678572,0.0849609375,0.134765625,0.10421875,81.24471541953766
scene000053_im000001_gt000000_obj000004,53,1,0,4,2048,8192,8192,68.5073013305664,153.2642059326172,181.78077697753906,188.25527954101562,0.22469399687838393,0.08696857983767708,86.96857983767708,0.10888671875,0.0294189453125,0.046322505240511916,0.509765625,0.1444091796875,0.2250616661224109,0.08910624136756155,0.006345581215706881,6.345581215706881,0.023193359375,0.0283203125,0.025501703199052133,0.1353759765625,0.21875,0.16724836263357462,0.0806229986219702,92.70359338102263,0.08910624136756155,0.006345581215706881,6.345581215706881,0.023193359375,0.0283203125,0.025501703199052133,0.1353759765625,0.21875,0.16724836263357462,92.70359338102263
scene000053_im000001_gt000001_obj000009,53,1,1,9,2048,8192,8192,71.74441528320312,154.66502380371094,194.49241638183594,190.47781372070312,0.2744937156842433,0.11536020515361668,115.36020515361668,0.068359375,0.018310546875,0.02888424295774648,0.345703125,0.09375,0.1475,0.18649885884538364,0.03546431086944998,35.46431086944998,0.019775390625,0.02197265625,0.020816200657894735,0.1136474609375,0.1622314453125,0.13366148281941373,0.0798958942841667,69.25776022829989,0.18649885884538364,0.03546431086944998,35.46431086944998,0.019775390625,0.02197265625,0.020816200657894735,0.1136474609375,0.1622314453125,0.13366148281941373,69.25776022829989
scene000053_im000001_gt000002_obj000013,53,1,2,13,2048,8192,8192,103.94709014892578,254.12936401367188,238.57411193847656,297.4837646484375,0.08463036568485512,0.011373975575952534,11.373975575952533,0.18359375,0.0504150390625,0.07910716614501825,0.6640625,0.264404296875,0.3782170326058375,0.19144739042436404,0.028440023796803944,28.440023796803946,0.00634765625,0.0081787109375,0.007147780987394958,0.03515625,0.0643310546875,0.04546587423312883,-0.01706604822085141,-150.0447060650751,0.19144739042436404,0.028440023796803944,28.440023796803946,0.00634765625,0.0081787109375,0.007147780987394958,0.03515625,0.0643310546875,0.04546587423312883,-150.0447060650751
scene000054_im000001_gt000000_obj000002,54,1,0,2,2048,8192,8192,151.99343872070312,315.1922912597656,350.0171813964844,388.1402282714844,0.21495859852200652,0.0642452351948539,64.24523519485389,0.14404296875,0.0367431640625,0.05855088939061445,0.56640625,0.138671875,0.22279691828254847,0.11524879098276888,0.011662346312458199,11.6623463124582,0.025390625,0.0284423828125,0.02683000283446712,0.1329345703125,0.200439453125,0.1598524822066093,0.05258288888239569,81.8471420065836,0.11524879098276888,0.011662346312458199,11.6623463124582,0.025390625,0.0284423828125,0.02683000283446712,0.1329345703125,0.200439453125,0.1598524822066093,81.8471420065836
