name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,winner
scene000055_im000022_gt000002_obj000004,4,165.26421453030957,25.51214586970288,234.4218480960137,84.5628129827078,-41.846708171066616,3DSGrasp
scene000055_im000022_gt000003_obj000012,12,246.70511649165144,68.66957255641927,358.3452754397367,72.16532290332816,-45.25247004833125,3DSGrasp
scene000055_im000022_gt000004_obj000014,14,40.55913948103337,11.529862464291714,148.15514515736712,71.57271428383383,-265.2817763223225,3DSGrasp
scene000055_im000022_gt000005_obj000016,16,83.40702381568065,31.015950109322336,119.73346938138178,62.81374314726323,-43.55322118431914,3DSGrasp
scene000056_im000001_gt000000_obj000001,1,450.18634692968516,191.39232373553205,534.2815082425404,57.48597774214025,-18.680078124623837,3DSGrasp
scene000056_im000001_gt000001_obj000010,10,601.8835226093178,457.36760994779,1019.493650760841,24.010611228400904,-69.38387785415313,3DSGrasp
scene000056_im000001_gt000002_obj000011,11,88.05603908296678,23.883315246855258,151.29405743833803,72.87714108472186,-71.81565173035789,3DSGrasp
scene000056_im000001_gt000003_obj000015,15,64.03866315922987,57.17343266637418,88.29485789673276,10.720446296303116,-37.87742207733276,3DSGrasp
scene000057_im000001_gt000000_obj000004,4,97.52788006115264,17.150679778090712,170.35881139438385,82.41458773907854,-74.67703726110342,3DSGrasp
scene000057_im000001_gt000001_obj000012,12,69.0720386331082,27.035268472940203,109.12153894310087,60.859315856385585,-57.98221842375997,3DSGrasp
scene000057_im000001_gt000002_obj000018,18,11.004788119465209,58.35405311979966,21.278060256395907,-430.2605782712284,-93.35274814386831,AdaPoinTr
scene000057_im000001_gt000003_obj000020,20,10.153010622052886,12.094740479295403,13.367719726714926,-19.12467079493619,-31.662619338539038,3DSGrasp
scene000057_im000001_gt000004_obj000021,21,121.60683210312801,25.820606525521537,175.6902025296451,78.7671415503822,-44.473957170968795,3DSGrasp
scene000058_im000030_gt000000_obj000003,3,511.768336144067,305.1599723084616,794.2419567369883,40.37146287562493,-55.19560329215105,3DSGrasp
scene000058_im000030_gt000001_obj000007,7,133.45127938661676,76.37041480836822,142.49099025074986,42.77281180113806,-6.7737910836691855,3DSGrasp
scene000058_im000030_gt000002_obj000008,8,59.82893231006284,10.725418860580303,116.34216694183117,82.07319026688303,-94.4580363541991,3DSGrasp
scene000058_im000030_gt000003_obj000011,11,80.3411018502016,21.503811280625445,130.25319392751047,73.23435852209253,-62.125227222264726,3DSGrasp
scene000059_im000001_gt000000_obj000002,2,81.64122336022172,15.109734090879407,147.73696747647014,81.4925187681088,-80.95878699002009,3DSGrasp
scene000059_im000001_gt000001_obj000004,4,126.87614868349523,29.569907753118624,196.88440046558355,76.69387977177364,-55.17841809395606,3DSGrasp
scene000059_im000001_gt000002_obj000006,6,87.16344959010962,28.170621980230578,45.98411648208841,67.68069401486024,47.24380838719559,3DSGrasp
scene000059_im000001_gt000003_obj000009,9,261.85520822323076,224.44003702807322,220.76102472522726,14.28849609256625,15.693475710046156,AdaPoinTr
scene000059_im000001_gt000004_obj000015,15,34.85815614416873,13.749408685051375,103.18639479549883,60.556121705962774,-196.01793729058278,3DSGrasp
scene000059_im000001_gt000005_obj000018,18,12.594202370398444,5.4341490325498345,35.31188859448239,56.85197940504497,-180.38209611019,3DSGrasp
