name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,winner
scene000051_im000001_gt000003_obj000012,12,51.45136526965004,152883.89184586063,83.90543489159501,-297042.53653837106,-63.077178714028925,AdaPoinTr
scene000051_im000001_gt000004_obj000017,17,50.6229415804982,254047.86433739302,134.93713359413027,-501743.3469209176,-166.55332420689075,AdaPoinTr
scene000052_im000001_gt000000_obj000005,5,64.67300864117892,138776.16860632552,106.03855244251537,-214481.2782211639,-63.96106300055131,AdaPoinTr
scene000052_im000001_gt000001_obj000006,6,46.17308181550538,313876.0887654843,55.81667476115703,-679681.5446230007,-20.885746773812357,AdaPoinTr
scene000052_im000001_gt000002_obj000011,11,79.71531641894416,79715.46594748956,142.0131918560813,-99900.18757818712,-78.15044615733622,AdaPoinTr
scene000053_im000001_gt000000_obj000004,4,86.96857983767708,241136.37015855545,143.86228195919955,-277168.37739402615,-65.41868595268772,AdaPoinTr
scene000053_im000001_gt000001_obj000009,9,115.36020515361668,306702.8261138363,172.8009900096401,-265765.3612009642,-49.79254742095314,AdaPoinTr
scene000053_im000001_gt000002_obj000013,13,11.373975575952533,102696.88347023453,114.90130873135719,-902811.0602924254,-910.2123744162743,AdaPoinTr
scene000054_im000001_gt000000_obj000002,2,64.24523519485389,105825.75929455743,97.15256037117959,-164621.56880364908,-51.22142533453066,AdaPoinTr
scene000054_im000001_gt000001_obj000003,3,44.200655259466245,145712.3246524224,81.6331585111637,-329561.0056956472,-84.68766589988665,AdaPoinTr
scene000054_im000001_gt000002_obj000012,12,41.381648033294184,118352.79033526452,62.749979234251185,-285903.08581244067,-51.63721653561214,AdaPoinTr
scene000054_im000001_gt000003_obj000015,15,24.357230448795928,104896.76523372297,80.13183581108879,-430559.65752649197,-228.98582611657318,AdaPoinTr
scene000054_im000001_gt000004_obj000019,19,13.539195192479244,83120.70887161522,12.949415956159363,-613826.5125432798,4.3560878466948445,AdaPoinTr
scene000055_im000022_gt000000_obj000001,1,53.412817460120664,82639.52940978367,79.57868486266425,-154618.536372818,-48.987993232297974,AdaPoinTr
scene000055_im000022_gt000001_obj000003,3,39.31080492564112,132346.70496450565,40.780328247693234,-336567.5020133722,-3.7382173293877043,AdaPoinTr
scene000055_im000022_gt000002_obj000004,4,165.26421453030957,731302.4593699682,234.4218480960137,-442405.02835618216,-41.846708171066616,AdaPoinTr
scene000055_im000022_gt000003_obj000012,12,246.70511649165144,220409.34704147122,358.3452754397367,-89241.21439225599,-45.25247004833125,AdaPoinTr
scene000055_im000022_gt000004_obj000014,14,40.55913948103337,474360.04442558315,148.15514515736712,-1169451.5498976689,-265.2817763223225,AdaPoinTr
scene000055_im000022_gt000005_obj000016,16,83.40702381568065,119197.96468529034,119.73346938138178,-142811.1832939913,-43.55322118431914,AdaPoinTr
scene000056_im000001_gt000000_obj000001,1,450.18634692968516,251977.8615104586,534.2815082425404,-55871.90213096692,-18.680078124623837,AdaPoinTr
scene000056_im000001_gt000001_obj000010,10,601.8835226093178,391932.0808534179,1019.493650760841,-65017.596034909366,-69.38387785415313,AdaPoinTr
scene000056_im000001_gt000002_obj000011,11,88.05603908296678,46916.198302861376,151.29405743833803,-53179.93263319139,-71.81565173035789,AdaPoinTr
scene000056_im000001_gt000003_obj000015,15,64.03866315922987,82223.76999580808,88.29485789673276,-128297.0744226212,-37.87742207733276,AdaPoinTr
scene000057_im000001_gt000000_obj000004,4,97.52788006115264,403767.3015360185,170.35881139438385,-413901.92568816774,-74.67703726110342,AdaPoinTr
scene000057_im000001_gt000001_obj000012,12,69.0720386331082,129877.04986904566,109.12153894310087,-187931.29665669354,-57.98221842375997,AdaPoinTr
scene000057_im000001_gt000002_obj000018,18,11.004788119465209,316118.58408405335,21.278060256395907,-2872454.9338374315,-93.35274814386831,AdaPoinTr
scene000057_im000001_gt000003_obj000020,20,10.153010622052886,103829.29922019789,13.367719726714926,-1022545.43085058,-31.662619338539038,AdaPoinTr
scene000057_im000001_gt000004_obj000021,21,121.60683210312801,744334.1246175967,175.6902025296451,-611982.4889068472,-44.473957170968795,AdaPoinTr
scene000058_im000030_gt000000_obj000003,3,511.768336144067,296689.86393913627,794.2419567369883,-57873.47021790259,-55.19560329215105,AdaPoinTr
scene000058_im000030_gt000001_obj000007,7,133.45127938661676,171840.98785244016,142.49099025074986,-128666.83434004853,-6.7737910836691855,AdaPoinTr
scene000058_im000030_gt000002_obj000008,8,59.82893231006284,353214.4363986416,116.34216694183117,-590273.9591542623,-94.4580363541991,AdaPoinTr
scene000058_im000030_gt000003_obj000011,11,80.3411018502016,61684.023155750794,130.25319392751047,-76677.66639392439,-62.125227222264726,AdaPoinTr
scene000059_im000001_gt000000_obj000002,2,81.64122336022172,121276.99941212584,147.73696747647014,-148448.7287188496,-80.95878699002009,AdaPoinTr
scene000059_im000001_gt000001_obj000004,4,126.87614868349523,338975.0655446244,196.88440046558355,-267070.0465863212,-55.17841809395606,AdaPoinTr
scene000059_im000001_gt000002_obj000006,6,87.16344959010962,201762.78762156653,45.98411648208841,-231376.36832911716,47.24380838719559,AdaPoinTr
scene000059_im000001_gt000003_obj000009,9,261.85520822323076,262634.0268047702,220.76102472522726,-100197.42336874794,15.693475710046156,AdaPoinTr
scene000059_im000001_gt000004_obj000015,15,34.85815614416873,173335.80240786495,103.18639479549883,-497160.3877582364,-196.01793729058278,AdaPoinTr
scene000059_im000001_gt000005_obj000018,18,12.594202370398444,221772.37612879678,35.31188859448239,-1760808.468884485,-180.38209611019,AdaPoinTr
